sample_id,image,text,label,cleaned_text
5219,5219.jpg,5219.txt,positive,Thanks !! This brings my excitement to fever pitch! #TIFF15 cc
22696,22696.jpg,22696.txt,negative,"Fellas, stop coming to take care of business in house shoes & hoop shorts. Unacceptable just like bonnets & leggings."
20847,20847.jpg,20847.txt,positive,#SelfieForNash You wanted a selfie? Here you go:')
10111,10111.jpg,10111.txt,negative,Main Conservative act re Syria isn't humanitarian or military. It's prevarication. #cdnpoli
14275,14275.jpg,14275.txt,negative,Incredible #veganartist Chantal Poulin Durocher. Please Don't Kill My Friend is my fav piece
4749,4749.jpg,4749.txt,positive,Mark your calendars! 's wild & crazy 4am after-parties are about to take over . #TIFF15
8427,8427.jpg,8427.txt,negative,I don't have a dog but I have birds.....???? #NationalDogDay
9063,9063.jpg,9063.txt,positive,THANK YOUUUU SO MUCH #ShesKindaHotVMA
14823,14823.jpg,14823.txt,positive,Thank you #gypsycartel #gypsy #follobackinstantly #folloback #RETWEEET #likeforfolow #likemepost #follow
18022,18022.jpg,18022.txt,positive,Here it comes!! Sept 24-26 Call 514-932-6378 for reservations! #derekseguin #comedy #montreal #fun
2999,2999.jpg,2999.txt,negative,When I see Harper photo-ops. #NorthKorea #elxn42
17535,17535.jpg,17535.txt,negative,#accident on 7th and Alberta on #vancouver. No serious injuries but #traffic is starting to be affected
11053,11053.jpg,11053.txt,positive,Harmony baler 72 x 40 20 hp 3 phase power clean machine #baler #buybaler #canada
22282,22282.jpg,22282.txt,negative,Northview better watch out for they're going to be looking like this guy when they get in his way
21656,21656.jpg,21656.txt,positive,I love her hair so beautifully natural wow rare sight with women today omg!
14485,14485.jpg,14485.txt,positive,I absolutely love this. #BatmanArt
9225,9225.jpg,9225.txt,negative,Why you not voting? #ShesKindaHotVMA
19605,19605.jpg,19605.txt,negative,It's getting hot in here... in #Yyc #Calgary
12958,12958.jpg,12958.txt,negative,At the scene of a fatal collision on paramount near Upper Mount Albion Rd. #hamont
2590,2590.jpg,2590.txt,negative,. makes another pointless promise & #Novak new nothing #duffygate #elxn42
20695,20695.jpg,20695.txt,positive,Today marks the beginning of week-long . Here we are showing our #Pride #Calgary
19851,19851.jpg,19851.txt,positive,Check out at if you're looking for something to do in #Ottawa!
3930,3930.jpg,3930.txt,positive,"Interested in a #Healthcare #job near #SaintClairShores, MI? This could be a great fit:"
16066,16066.jpg,16066.txt,negative,#Toronto Full Time #Job #2207 Employer: LVS Inc. Rate: $15-25/Hr
9367,9367.jpg,9367.txt,negative,To person who created the #ShesKindaHeartVMA hashtag and all those other fake ones #ShesKindaHotVMA
13729,13729.jpg,13729.txt,negative,#malware #smartphones #mobiles #virus #battery life. #cell #phones
13869,13869.jpg,13869.txt,negative,#EstDocs15 Book incl NAm/Cdn Premiere #ArvoPart80 The Lost Paradise
11074,11074.jpg,11074.txt,negative,#Canada How do you like now & his economic plans based on tar sands dirty filth! ? Did you lose $? Boo hoo!
2936,2936.jpg,2936.txt,negative,You may not be of Justin's Canada #elxn42 #polqc
6307,6307.jpg,6307.txt,negative,I HATE HIM I HATE HIM I HATE HIM I HATE HIM I HATE HIM. #DragMeDownMusicVideo
9236,9236.jpg,9236.txt,negative,Ashton's face when he see you not voting #ShesKindaHotVMA
16424,16424.jpg,16424.txt,positive,Sebastian Giovinco serves up another treat. #torontoFC
17869,17869.jpg,17869.txt,positive,#Edmonton businesses discover how to save on your #telecom costs at our free event! RSVP:
5059,5059.jpg,5059.txt,positive,spotted at #TIFF15: Nick Robinson from Jurassic World.
4666,4666.jpg,4666.txt,positive,"It's #TIFF15, which also means it's AAS #FallTerm! Good luck to all of our actors starting today ?? #actorslife"
22873,22873.jpg,22873.txt,negative,"RCMP seek two men after alleged luring of boy, 10, in Lawrencetown, #Halifax Co."
3499,3499.jpg,3499.txt,negative,The ballot box question is simple. do we want more of this hypocritical leadership. has to go #elxn42
10726,10726.jpg,10726.txt,positive,#Canada features Top 10 Moments of Day 3: #1 Mesh Sweater of
17139,17139.jpg,17139.txt,positive,Guess what I'm doing later this morning ?? #WhaleWatching #Travel #Tourism #YYJ #VancouverIsland
20448,20448.jpg,20448.txt,positive,This bedroom was decorated with a cream wallpaper from #ottawa #wallpaper #homedecor #interiordesign
5124,5124.jpg,5124.txt,positive,Join us tonight 7pm sharp for the premiere of #LaGiubba. The film is 60mins then a party 8-10. #TIFF15 Cc
13046,13046.jpg,13046.txt,positive,Jules is ready to serve u #greenbeltharvestpicnic #hamont
14243,14243.jpg,14243.txt,negative,#Dermal #Piercing by at #AlbanyModernBodyArt. #TragicEmpire #AlbanyNY #DowntownAlbany
16316,16316.jpg,16316.txt,positive,"#Toronto, AUG 21: Book launch of #TheProtonicGuardianJustinTrudeau / . Thanks Annamaria Nunziata & all."
8333,8333.jpg,8333.txt,positive,Happy #NationalDogDay even though most of these dogs aren't even mine?? but I still love them??
18198,18198.jpg,18198.txt,positive,At the for the Jacques Nantel conference and the #Fashion Truck #Montreal launch event! #CQCD
14775,14775.jpg,14775.txt,negative,Life lesson: Never trust a pirate. #theartof #captainphillips #pirates #leadership
13010,13010.jpg,13010.txt,negative,Woke up to a slew of sirens racing down the street twice. Look out window and see flames coming from Bay 200 #HamOnt
20498,20498.jpg,20498.txt,positive,I love food...and it loves me back. Boom. #Foodie #ottawaFood #OttawaFoodies #yum #food #homemade
7031,7031.jpg,7031.txt,positive,Want hot music downloads on #eatingndastreets #Hiphop #music #dope
7411,7411.jpg,7411.txt,negative,Want hot music downloads on #eatingndastreets #Hiphop #music #dope
9884,9884.jpg,9884.txt,negative,The Return of National Fences - #cdnpoli #polqc
17989,17989.jpg,17989.txt,positive,Still waiting for you to post the picture you took #OTRAMontreal
7246,7246.jpg,7246.txt,positive,Want hot music downloads on #eatingndastreets #Hiphop #music #dope
12400,12400.jpg,12400.txt,negative,Pedestrian struck in parking lot dies. #HamOnt
9732,9732.jpg,9732.txt,negative,Talk also about work of Harper Government allies: Israel & Saudi Arabia. #cdnpoli
3754,3754.jpg,3754.txt,negative,Canadian Media Guild registers as a third party in #elxn42
21541,21541.jpg,21541.txt,negative,Putting crib together on a different day after the struggles w/ this lol. But his pack n play & car seat in his room??
18677,18677.jpg,18677.txt,negative,This could be lunch. #Burek #Mediterranean #TheItalianStoreyyc
7326,7326.jpg,7326.txt,negative,Now Playing Confessions Of A Fatherless Felon Mixtape by via #Music #hiphop #rap
9536,9536.jpg,9536.txt,positive,why did you do this to us. ???? #ShesKindaHotVMA
21174,21174.jpg,21174.txt,negative,Every day
4778,4778.jpg,4778.txt,negative,I want to see your face in there tonight. #hellions #cdnfilm #TIFF15
3120,3120.jpg,3120.txt,negative,Unsafe site 4 Cda Post Box. Complained to Conservative MP. Nothing done. People have to park on road. #elxn42
